no,name,categories,target_sector,specialities,certifications,about_importers,company,company_url,company_attributes,pavilion,booth,exhibited_products,show,image_url,product_url
8152,CEYLON SPICES,Solid Seasonings,,,ISO22000 | Other HACCP | HALAL | GMP | USDA Organic Certification,We have an importer,CEYEXXE LIMITED,https://www.ceyexxe.com/,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : Sri Lanka Tea Board,National Pavilion,E5-U17-00,"Both Organic & Conventional teas & herbs. | | Black Tea, Green Tea, flavoured teas (Earl Grey, Lemon, Peppermint, Soursop, Strawberry, Citrus, Ginger, Chai Masala, Cardamom, Lemon & Rose), | | wellness/immunity tea, tea infusions, spice teas & exotic herbal teas (Neem, Turmeric Ginger, Bitter Melon, Lemongrass, Moringa, Blue butterfly pea flower with Rosemary), | | Blends Slimming tea, diabetic tea, blends of your favorite teas with natural ingredients for maximum health benefits could be done | | Ceylon Cashew (cooking, for salads, salted, devilled, raw, curry leaves, burnt, sugar coated, wood oven-baked, cheese & chilli, honey) | | Specialty teas (Silver Tips, Golden Tips, Golden Curls, hand-made teas, Blooming Tea) | | Ceylon spices (Ceylon cinnamon, Cloves, Cardamom, Black Pepper, White Pepper, Green Pepper, Mace, Nutmeg, Star Anise) | | Dehydrated Fruit (Banana, Beli fruit, Pineapple, Papaya, Mango, Guava), | | Dehydrated flowers (Marigold, Jasmine, Lotus, Rose Petal, Hibiscus) | | Any type of Tea & Herbs of your preference in bulk, packeted, or tea bags - alu foil, pot bag (round & square) pyramid, double chamber (stapler free) can be packed and shipped as per your requirement |",FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=8152
8159,Special Jars Line,Vegetable snacks | Packaging,,,,We don't have an importer,MADAMA OLIVA,https://www.madamaoliva.it/,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : Italian Pavilion,National Pavilion,E1-A24-173,"Table olives (whole, pitted, green, black, mild giant) | Spreads, | Vegetables (artichokes, chilli peppers, dried tomatoes, capers, marinated garlic) | Pasta sauce, | Tapenades, | Spices (oregano)",FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_173745435325.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=8159
8164,Broken Bones London Dry Gin,Spirits | Whiskey | Others,"Importers and distributors of premium, higly awarded artisan spirits in the region. In Japan we already have importers, so we are looking for wholesalers, ho-re-ca of higher end spirits.","Suitable for on and off trade. Broken Bones spirits are unique – gin, whisky, vodka are not traditionally produced in Slovenia, but we have created spirits that have collected top awards at the most renown international competitions. Bold, exquisite, ours…",,We don't have an importer,Broken Bones,https://www.brokenbones.si,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : SLOVENIA,National Pavilion,E3-C03-00,"whisky, gin, vodka",FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_8164.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=8164
8168,Broken Bones Ljubljana Dragon Gin,Spirits | Whiskey | Others,"Importers and distributors of premium, higly awarded artisan spirits (ower 100 international awards in last 4 years) in the region. In Japan we already have importers, so we are looking for wholesalers, ho-re-ca of higher end spirits.","Suitable for on and off trade. Broken Bones spirits are unique – gin, whisky, vodka are not traditionally produced in Slovenia, but we have created spirits that have collected top awards at the most renown international competitions. Bold, exquisite, ours…",,We don't have an importer,Broken Bones,https://www.brokenbones.si,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : SLOVENIA,National Pavilion,E3-C03-00,"whisky, gin, vodka",FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_8168.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=8168
8178,Broken Bones Vodka,Spirits | Others,"Importers and distributors of premium, higly awarded artisan spirits (ower 100 international awards in last 4 years) in the region. In Japan we already have importers, so we are looking for wholesalers, ho-re-ca of higher end spirits.","Broken Bones unique spirits are created to be enjoyed both neat or part of a cocktail. In the co-operation with top barmen, we've created cocktails, that showcase our spirits, let them shine. We believe that any cocktail will be better with Broken Bones spirit!",,We don't have an importer,Broken Bones,https://www.brokenbones.si,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : SLOVENIA,National Pavilion,E3-C03-00,"whisky, gin, vodka",FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_8178.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=8178
8181,Broken Bones old tom Gin,Spirits | Others,"Importers and distributors of premium, higly awarded artisan spirits (ower 100 international awards in last 4 years) in the region. In Japan we already have importers, so we are looking for wholesalers, ho-re-ca of higher end spirits.","Suitable for on and off trade. Broken Bones spirits are unique – gin, whisky, vodka are not traditionally produced in Slovenia, but we have created spirits that have collected top awards at the most renown international competitions. Bold, exquisite, ours…",,We don't have an importer,Broken Bones,https://www.brokenbones.si,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : SLOVENIA,National Pavilion,E3-C03-00,"whisky, gin, vodka",FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_8181.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=8181
8192,Coconut Water,Energy Drinks | Non-alcoholic Beverages | Health & Wellness Products | Vegan | Halal | Kosher | Organic Products | Plant-based / Alternative Foods,Beverage | Health and Wellness | Cosmetics and Skincare | Food | Retail and E-Commerce | Hospitality and Food Service | Sustainability and Ethical Consumption | Pharmaceutical and Functional Foods | Alternative Medicine and Natural Remedies,"Natural Electrolytes & Hydration: Packed with potassium, sodium, and magnesium for natural hydration and recovery. | Low-Calorie, No Added Sugars: Ideal for weight management and healthy lifestyle choices. | Nutrient-Rich: High in potassium, antioxidants, and vitamins like C. | Organic and Sustainable: 100% natural and eco-friendly packaging. | Perfect for Fitness & Sports: A natural and effective alternative to sugary sports drinks. | Versatile in Culinary and Beauty Uses: Can be used in recipes, smoothies, cocktails, and beauty products. | Health Benefits: Supports heart health, digestive health, and weight management. | Dietary-Friendly: Gluten-free, dairy-free, vegan, and keto-friendly. | Authenticity and Trust: Sourced from tropical regions, emphasizing purity and quality. | Convenient and Ready-to-Drink: Portable and easy-to-consume, making it perfect for busy consumers.","US-HACCP | Other HACCP | HALAL | FDA | GMP | Organic JAS Mark | USDA Organic Certification | EU Organic Certification | Non-GMO Certification | BRC, KOSHER, ISO 45001, ISO 14001, FT USA, NATURLAND, SEDEX-SMETA",We don't have an importer,WELLNESSCARE INTERNATIONAL CORP,,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : PHILIPPINE EMBASSY IN TOKYO,National Pavilion,E4-U21-00,Virgin Coconut Oil | RBD Coconut Oil | Coconut Flour | Coconut Butter | Desiccated Coconut (Regular) | Desiccated Coconut (Sweetened) | Desiccated Coconut (Toasted) | Coconut Water | Coconut Water Concentrate | Coconut Milk | Coconut Milk Drink | Coconut Cream,FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_173745694392.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=8192
8198,Octopus and scallops umani（simmered in soy sauce）,Frozen Seafood | Processed seafood products,"Restaurants, retail, online shopping, hotels,","This dish features Hokkaido scallops and Akashi octopus, slowly simmered in our special sauce to bring out their rich flavors.",Other HACCP,,International IST,https://www.i-ist.co.jp/,Japan exhibitors | Exportable,Seafood,S1-O15,"At InternationalIST, we import high-quality spiny lobster, lobster, lobster, and Ezo abalone from both Japan and overseas, and sell them wholesale for commercial use. | We can deliver live spiny lobster, live lobster, and live Ezo abalone, meaning they are delivered alive. We also specialize in processed products, and will process them to meet our customers' needs. | Please feel free to contact us for more information.",FOODEX JAPAN 2026 / 2026 Japan Meat Industry Fair 50th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_176869892167.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=8198
8229,Spray dried fruit and vegetable juice powders / Extracts,Juice | Non-alcoholic Beverages | Supplements | Health & Wellness Products | Vegetarian | Vegan | Organic Products,"Beverage Manufacturing: for creation of ready-to-drink beverages, instant drink mixes, and health drinks. They provide natural flavors, colors, and nutritional benefits without the logistical challenges associated with fresh or even frozen fruits. | Bakery and Confectionery: can incorporated into a variety of baked goods, from artisan breads to industrially produced cakes and cookies. They not only enhance flavor but also can add a nutritional tagline, appealing to health-conscious consumers. In candies, they contribute to both taste and texture, offering a clean label alternative to artificial flavors. | Dairy Products: These powders find their way into yogurts, ice creams, and other dairy products, enhancing them with natural fruit flavors while also potentially increasing their health benefits.","Convenience, Long Shelf Life, Ease of Use, Nutrient Retention, Natural Ingredients, Versatility, Clean Label, High Solubility, Intense Flavor, Vibrant Color, Cost-Effective, Stable Quality, No Preservatives, Gluten-Free, Non-GMO, Organic Options, Health Benefits, Functional Ingredients, Reduced Shipping Costs, Custom Formulations, Wide Application, Consistent Taste, Antioxidant Rich, Vitamin Fortified, Mineral Enhanced, Sustainable Sourcing, Traceability, Innovative Products, High Bioavailability, Reduced Waste, Portable Nutrition, Allergen-Free Options, Compliance with Regulations, Organic Certificate, freeze dried, | apple, | apricot, | aronia, | banana, | beetroot, | bilberry (wild blueberry), | blackberry, | blackcurrant, | blueberry, | carrot, | chives, | cranberry, | dragon fruit, | elderberry, | green peas, | haskap berry, | hawthorn fruit, | lemon balm, | lingonberry, | mango, | parsley, | peach, | pear, | pineapple, | plum, | raspberry, | red currant, | rosehip, | sour cherry, | strawberry, | sweet cherry, | tomato, | topinambur,",EU-HACCP | EU Organic Certification,We don't have an importer,Meliseus Michal Sasin Piotr Krawczyk S.C.,https://www.meliseus.com,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : National Support Centre for Agriculture - KOWR,National Pavilion,E1-C09-00,"freeze dried fruits and vegetables in chunks and powders, | air dried fruits and vegetables in chunks and powders, | spray dried juice powders, | not from concentrate (NFC) juices, | juice concentrates, | juice extracts, | frozen fruits and vegetables, | fruits and nuts covered in chocolate, | | apple, | apricot, | aronia, | banana, | beetroot, | bilberry (wild blueberry), | blackberry, | blackcurrant, | blueberry, | carrot, | chives, | cranberry, | dragon fruit, | elderberry, | green peas, | haskap berry, | hawthorn fruit, | lemon balm, | lingonberry, | mango, | parsley, | peach, | pear, | pineapple, | plum, | raspberry, | red currant, | rosehip, | sour cherry, | strawberry, | sweet cherry, | tomato, | topinambur, | apple fiber, | aronia fiber, | blackcurrant fiber, | carrot fiber, | cocoa fiber, | oat fiber, | rye fiber, | wheat fiber, |",FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_8229.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=8229
8252,No added Sugar Cookies with cream,Cakes / Dessert,,,EU-HACCP | IFS/BRC,We have an importer,Bogutti Sp. z o.o.,https://bogutti.com/,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : National Support Centre for Agriculture - KOWR,National Pavilion,E1-C09,"Cookies, fudges, wafer Rolls, No added sugar cookies",FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_173746500550.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=8252
8253,Wine Capo d`istria Malvasia Istriana,Still wines - white,"Wine importer, wind distributor, retail company, wine trader",www.vinakoper.si,,We don't have an importer,Vinakoper,https://www.vinakoper.si/en/,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : SLOVENIA,National Pavilion,E3-C03-00,"red wine, white wine, sparkling wine,",FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=8253
8271,OCHA お茶,Professional Services | Still wines - red | Others,Hotels and restaurants,Whole bunching Fermentation,ISO9001,,MAISON SICHEL,https://www.sichel.fr/,Overseas exhibitors | Exportable,,S3-C17,"Bordeaux wine , wines from South of France , Grand Cru",FOODEX WINE,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_8271.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=8271
8273,ZAKU Sport,Bottled Water | Non-alcoholic Beverages,"HoReCa, retail, distribution, import",,ISO22000,We have an importer,"ZAKU Natural Mineral Water, Markol LLC",https://www.zakuwater.eu/,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : Investment and Development Agency Of Latvia,National Pavilion,E3-S06-12,ZAKU Natural Mineral Water,FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_173746728610.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=8273
8278,Frozen Fruits and Vegetables,Supplements | Health & Wellness Products | Frozen Fruit & Vegetables | Vegetarian | Vegan | Organic Products,"Food Service Industry: Restaurants, hotels, and catering services use bulk frozen fruits for consistency in menu items like smoothies, desserts, and breakfast options, where fresh fruit availability and quality can vary. | Baking and Confectionery: This sector uses frozen fruits for pies, pastries, and other baked goods where the fruit needs to be incorporated into the product without spoiling or losing flavor and texture. | Beverage Manufacturers: Companies producing juices, smoothies, and cocktails benefit from the year-round availability of fruits, maintaining consistent product quality. | Food Processing: For making jams, jellies, preserves, or fruit fillings where the fruit needs to be processed at a large scale. | Retail: Supermarkets and grocery stores for selling to consumers who might use frozen fruits for home cooking or as a convenient, long-lasting alternative to fresh fruits. | Health and Wellness: Including juice bars, health food stores, and companies focused on smoothies, acai bowls, or other health-focused products where natural, preservative-free ingredients are valued.","Nutritional Value: | Preservation of Nutrients: Many nutrients are locked in at the peak of ripeness, often providing as much or more nutritional value than fresh produce. | | Convenience: | Ready to Use: No washing, peeling, or chopping required, which saves time in food preparation. | Portion Control: Often pre-measured, making it easy to use just the right amount for recipes. | | Shelf Life: | Longer Lasting: Prevents spoilage, reducing food waste and allowing for long-term storage without preservatives. | Year-Round Availability: Provides access to seasonal produce all year, ensuring consistent supply.",EU-HACCP | EU Organic Certification,We don't have an importer,Meliseus Michal Sasin Piotr Krawczyk S.C.,https://www.meliseus.com,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : National Support Centre for Agriculture - KOWR,National Pavilion,E1-C09-00,"freeze dried fruits and vegetables in chunks and powders, | air dried fruits and vegetables in chunks and powders, | spray dried juice powders, | not from concentrate (NFC) juices, | juice concentrates, | juice extracts, | frozen fruits and vegetables, | fruits and nuts covered in chocolate, | | apple, | apricot, | aronia, | banana, | beetroot, | bilberry (wild blueberry), | blackberry, | blackcurrant, | blueberry, | carrot, | chives, | cranberry, | dragon fruit, | elderberry, | green peas, | haskap berry, | hawthorn fruit, | lemon balm, | lingonberry, | mango, | parsley, | peach, | pear, | pineapple, | plum, | raspberry, | red currant, | rosehip, | sour cherry, | strawberry, | sweet cherry, | tomato, | topinambur, | apple fiber, | aronia fiber, | blackcurrant fiber, | carrot fiber, | cocoa fiber, | oat fiber, | rye fiber, | wheat fiber, |",FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_8278.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=8278
8280,Capris Refošk,Still wines - red,"wine distributor, wine shop, retail seller","retail, horeca, winetrader, wine importer",,We don't have an importer,Vinakoper,https://www.vinakoper.si/en/,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : SLOVENIA,National Pavilion,E3-C03-00,"red wine, white wine, sparkling wine,",FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=8280
8283,Handmade Pizza Crust,Frozen Baked Goods,"Wholesaler, Retailer, Distributor",,ISO22000 | Other HACCP | FDA | MSC(Marine Stewardship Council) | ASC(Aquaculture Stewardship Council),We don't have an importer,King's Cook Frozen Food,https://kingscook.en.taiwantrade.com/,Overseas exhibitors | Exportable,,E5-F29,"Pizza Crust, Green onion pancake, Spring Onion Chinese Omelet, Sesame rolls, Vegetarian Pepper Bun, Baked Stuffed Sesame Biscuit, Hot Pot Soup Base, Vegetarian Taiwanese Fried Noodle, Vegetarian Taiwanese Fried Vermicelli",FOODEX Frozen Processed Food,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_173746842868.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=8283
8291,Wine Capo d`Istria Cabernet Sauvignon,Still wines - red,"wine importer, wine distributor, horeca, retail, wine shop",www.vinakoper.si,,We don't have an importer,Vinakoper,https://www.vinakoper.si/en/,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : SLOVENIA,National Pavilion,E3-C03-00,"red wine, white wine, sparkling wine,",FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=8291
8296,Capris Marine Brut sparkling wine,Sparkling wines,sparkling wine,www.vinakoper.si,,We don't have an importer,Vinakoper,https://www.vinakoper.si/en/,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : SLOVENIA,National Pavilion,E3-C03-00,"red wine, white wine, sparkling wine,",FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=8296
8298,Vino Tavola Roberto Riga,Still wines - red,"Retail , Horeca","Restaurants, Bar , Hotels, Retails",EU-HACCP,We don't have an importer,Cantine Casabella,https://www.4ru.it/,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : Italian Pavilion,National Pavilion,E1-A24-20,"Lambrusco, Gutturnio, Malvasia, Bonarda, Metodo Classico, Pinot Grigio IGT, Pinot Grigio DOC, Montepulciano, Primitivo, Table Wine, Zinfandel, Barbera, Spumante Brut, Spumante Rosé, Rosé, Glera Spumante, Barolo , Orange Wine, Anchestral Wine, Natural Wine, Brunello di Montalcino, Chianti, Chianti Classico, Chianti Riserva, Vernaccia, Vermentino, Rosso di Montalcino, Sicilia DOC, Grillo DOC, Nero d'Avola, Cataratto, Grillo Spumante, Asti DOCG, Barbaresco, Pinot Noir, Pinot Bianco, Prosecco, Prosecco Rosé , Merlot, Amarone, Ripasso di Valpolicella, Bitter, Aperitiv, Vermouth, Vodka, Gin, Limoncello",FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=8298
8303,SHU GUO ZIH,Gluten-free | Savoury Baked Products | Cereals / Fruit Bars,"SWEET POTATO COOKIE,SWEET POTATO CHIPS,RICE PUFFS","SWEET POTATO COOKIE,SWEET POTATO CHIPS,RICE PUFFS",ISO22000 | US-HACCP,We have an importer,"YI-I FARM COMMODITIES CO., LTD.",http://www.shujhihren.com.tw/,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : Taiwan External Trade Development Council,National Pavilion,E5-A02-00,"It is named “SHU GUO ZIH” because it means dessert. As the name suggests, it is a dessert made from sweet potatoes, combined with local organic rice from Chiayi, Taiwan, to make yam fruit that is not only non-sticky but also low in sugar and healthy. In addition to allowing tourists to see the beautiful mountains and rivers of Chiayi, Taiwan, they can also bring home Chiayi agricultural products to share with family and friends.",FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_8303.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=8303
8304,Chianti Riserva DOCG,Still wines - red,Retail/Horeca,"Restaurants, Hotels, Bars, Retail","EU-HACCP | IFS, BRC, BIO",We don't have an importer,Cantine Casabella,https://www.4ru.it/,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : Italian Pavilion,National Pavilion,E1-A24-20,"Lambrusco, Gutturnio, Malvasia, Bonarda, Metodo Classico, Pinot Grigio IGT, Pinot Grigio DOC, Montepulciano, Primitivo, Table Wine, Zinfandel, Barbera, Spumante Brut, Spumante Rosé, Rosé, Glera Spumante, Barolo , Orange Wine, Anchestral Wine, Natural Wine, Brunello di Montalcino, Chianti, Chianti Classico, Chianti Riserva, Vernaccia, Vermentino, Rosso di Montalcino, Sicilia DOC, Grillo DOC, Nero d'Avola, Cataratto, Grillo Spumante, Asti DOCG, Barbaresco, Pinot Noir, Pinot Bianco, Prosecco, Prosecco Rosé , Merlot, Amarone, Ripasso di Valpolicella, Bitter, Aperitiv, Vermouth, Vodka, Gin, Limoncello",FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_173746981133.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=8304
8310,Pinot Grigio DOC Delle Venezie,Still wines - white,Horeca,"Hotels, Restaurants, Bar",EU-HACCP,We don't have an importer,Cantine Casabella,https://www.4ru.it/,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : Italian Pavilion,National Pavilion,E1-A24-20,"Lambrusco, Gutturnio, Malvasia, Bonarda, Metodo Classico, Pinot Grigio IGT, Pinot Grigio DOC, Montepulciano, Primitivo, Table Wine, Zinfandel, Barbera, Spumante Brut, Spumante Rosé, Rosé, Glera Spumante, Barolo , Orange Wine, Anchestral Wine, Natural Wine, Brunello di Montalcino, Chianti, Chianti Classico, Chianti Riserva, Vernaccia, Vermentino, Rosso di Montalcino, Sicilia DOC, Grillo DOC, Nero d'Avola, Cataratto, Grillo Spumante, Asti DOCG, Barbaresco, Pinot Noir, Pinot Bianco, Prosecco, Prosecco Rosé , Merlot, Amarone, Ripasso di Valpolicella, Bitter, Aperitiv, Vermouth, Vodka, Gin, Limoncello",FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_173747009056.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=8310
8320,VASAC CRISPY( Trumpet Mushroom chips),Baked Goods | Gluten-free | Mushroom | Vegetarian | Vegan | Savoury Baked Products | Savoury snacks | Vegetable snacks | Dried Fruit & Vegetables | Salty Snacks | Rice Crackers & Healthy Snacks | Plant-based / Alternative Foods,,,Other HACCP,We don't have an importer,maJu,http://www.aheir.co.kr,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : Korea Agro-Fisheries & Food Trade Corporation,National Pavilion,E5-A20,"VASAC CRISPY(Mushroom chips), Lologochujang(Korean Red Pepper Paste), Kketchup(Korean Superior Hot Tomato Sauce)",FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_173747097022.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=8320
8345,Berryshka Singlle Malt Whisky,Whiskey,"Berryshka Single Malt Whisky is an unique Slovenian premium drink that is meant for bars, cocktail lounges, cocktail bars, (high-end) restaurants, mixologists, liquor stores, boutique stores, high-end retail and speciality liquor stores, gift shops, luxury hospitality venues, hotels and wellness hotels. It is also meant for curated gifts and corporate gifting, as well as for everyone that loves unique whiskies and unique craft spirits. It is also appropriate for craft drinks connoisseurs and boutique alcohol enthusiasts.","Berryshka Single Malt Whisky is a whisky made by a family distillery in the heart of Slovenia, on the outskirts of a primeval forest of Kočevsko. It is made only out of Slovenian raw materials and aged 5 years in carefully selected barrels, which offer a deep, complex flavour profile with notes of oak, vanilla and fruits. It is a premium spirit, which embodies purity and is resonating with the appreciation for nature and craftsmanship. It is presented in a slovenian-made elegant and timless bottle that makes the drink suitable for ideal gifts or for premium spirits enthusiasts and showcasing in high-end spirit collections. It is a versatile pairing with fine dishes or also enjoed neat. It is a whisky with a story: an old dream-come-true of our master distiller.",EU-HACCP,We have an importer,Berryshka,https://berryshka.com/en/,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : SLOVENIA,National Pavilion,E3-C03-00,"We will be presenting our artisanal award-winning products, made in our family distillery and chocolatier (in Slovenia, Europe) with more than 30 years of experience: Berryshka BIO Juniper Brandy, Berryshka Juniper Brandy aged in oak barrels, Berryshka Whisky, Berryshka London Dry Gin, Berryshka Purfl Gin, Berryshka Gin 'N Berry Gin, Berryshka Williams pear brandy, Berryshka BrinGin and various handcrafted chocolate creations.",FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_173747507014.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=8345
8353,GIUNCO,Cheese,"Il Giunco e un formaggio pecorino ottimo da tavola e da grattugia, prodotto esclusivamente con latte di pecora fresco proveniente dai pascoli dell’entroterra sardo. La forma reca impressi i segni del tradizionale canestro in giunco sardo intrecciato, utilizzato per modellarla ed esaltare i sentori aromatici. Sapore deciso con un piacevole mix di aromi di frutta secca, note tostate e speziate.",Nelle migliori rivendite specializzate di prodotti tipici alimentari di alta qualità,EU-HACCP | Other HACCP,We don't have an importer,CASEIFICIO ANTONIO GARAU DAL 1880,https://caseificiogarau.com/en/,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : Italian Pavilion,National Pavilion,E1-A24-123,Caseificio Antonio Garau dal 1880 produce formaggi italiani di alta qualità premiati nei concorsi caseari piu prestigiosi del mondo come il World Cheese Awards e il International Cheese & Diary Awards,FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_8353.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=8353
8363,Berryshka Williams pear Brandy,Spirits,"Berryshka Williams pear Brandy is an unique fruit brandy that is meant for bars, cocktail lounges, cocktail bars, (high-end) restaurants, mixologists, liquor stores, boutique stores, high-end retail and speciality liquor stores, gift shops, luxury hospitality venues, hotels and wellness hotels. It is also meant for curated gifts and corporate gifting, as well as for everyone that loves unique drinks with a European note. It is also appropriate for craft spirits connoisseurs and boutique alcohol enthusiasts.","Berryshka Williams pear distillate is a brandy made in a family distillery in the heart of Slovenia, on the outskirts of a primeval forest of Kočevsko. It is a premium fruit spirit that embodies purity and simplicity and is resonating with the appreciation for nature and craftsmanship. Drunk neat, or used in many cocktails, or as a good pairing for refined cuisines. Its elegant packaging makes the drink suitable for ideal gifts or for premium spirits enthusiasts.",EU-HACCP,We don't have an importer,Berryshka,https://berryshka.com/en/,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : SLOVENIA,National Pavilion,E3-C03-00,"We will be presenting our artisanal award-winning products, made in our family distillery and chocolatier (in Slovenia, Europe) with more than 30 years of experience: Berryshka BIO Juniper Brandy, Berryshka Juniper Brandy aged in oak barrels, Berryshka Whisky, Berryshka London Dry Gin, Berryshka Purfl Gin, Berryshka Gin 'N Berry Gin, Berryshka Williams pear brandy, Berryshka BrinGin and various handcrafted chocolate creations.",FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_8363.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=8363
